Adoption ID,Animal Type,Breed,Age (Years),Adoption Fee,Adoption Date,City,Payment Method
A0333,Dog,Siamese,8,200,2023-05-13 00:00:00,Calgary,Cash
A0334,Guinea Pig,Bulldog,4,75,2023-10-03 00:00:00,Vancouver,Online Transfer
A0335,Bird,Labrador,13,150,2024-05-27 00:00:00,Vancouver,Online Transfer
A0336,Cat,Holland Lop,11,100,2023-11-09 00:00:00,Toronto,Online Transfer
A0337,Dog,American,13,75,2023-10-11 00:00:00,Vancouver,Debit
A0338,Bird,Siamese,2,100,2023-05-01 00:00:00,Calgary,Online Transfer
A0339,Guinea Pig,Bulldog,4,75,2023-04-17 00:00:00,Vancouver,Debit
A0340,Bird,Labrador,4,50,2023-07-23 00:00:00,Montreal,Debit
A0341,Dog,Persian,4,100,2023-06-14 00:00:00,Toronto,Debit
A0342,Bird,Holland Lop,2,150,2023-11-01 00:00:00,Calgary,Cash
A0343,Rabbit,Holland Lop,10,150,2024-05-11 00:00:00,Toronto,Cash
A0344,Bird,Labrador,13,200,2023-06-05 00:00:00,Calgary,Online Transfer
A0345,Cat,American,9,75,2024-01-02 00:00:00,Montreal,Online Transfer
A0346,Cat,Labrador,13,100,2023-09-08 00:00:00,Toronto,Cash
A0347,Rabbit,Siamese,3,200,2023-11-30 00:00:00,Ottawa,Credit Card
A0348,Dog,Labrador,8,100,2024-05-25 00:00:00,Calgary,Cash
A0349,Cat,Holland Lop,12,75,2023-10-20 00:00:00,Ottawa,Debit
A0350,Guinea Pig,Bulldog,9,150,2023-01-20 00:00:00,Toronto,Cash
A0351,Cat,Labrador,8,50,2023-10-09 00:00:00,Ottawa,Debit
A0352,Cat,American,1,150,2023-01-01 00:00:00,Ottawa,Online Transfer
A0353,Dog,Bulldog,7,200,2023-04-29 00:00:00,Toronto,Credit Card
A0354,Bird,Persian,7,50,2023-02-04 00:00:00,Montreal,Online Transfer
A0355,Cat,Cockatiel,6,200,2023-07-17 00:00:00,Ottawa,Debit
A0356,Rabbit,Labrador,7,75,2024-04-29 00:00:00,Ottawa,Debit
A0357,Bird,American,13,50,2023-02-28 00:00:00,Montreal,Debit
A0358,Guinea Pig,Bulldog,2,200,2023-06-10 00:00:00,Ottawa,Credit Card
A0359,Dog,American,12,75,2023-07-25 00:00:00,Ottawa,Cash
A0360,Guinea Pig,Persian,5,150,2023-01-12 00:00:00,Ottawa,Online Transfer
A0361,Bird,Holland Lop,0,75,2024-05-04 00:00:00,Vancouver,Online Transfer
A0362,Bird,American,6,100,2023-10-03 00:00:00,Montreal,Cash
A0363,Bird,Bulldog,14,75,2023-08-30 00:00:00,Ottawa,Online Transfer
A0364,Guinea Pig,American,14,75,2023-08-04 00:00:00,Montreal,Credit Card
A0365,Bird,American,0,100,2023-09-08 00:00:00,Calgary,Online Transfer
A0366,Guinea Pig,American,8,200,2023-05-06 00:00:00,Calgary,Debit
A0367,Bird,Siamese,0,200,2023-08-05 00:00:00,Ottawa,Cash
A0368,Rabbit,Siamese,0,75,2023-11-02 00:00:00,Montreal,Credit Card
A0369,Bird,Holland Lop,14,100,2023-07-04 00:00:00,Montreal,Cash
A0370,Guinea Pig,Labrador,6,100,2023-02-08 00:00:00,Montreal,Credit Card
A0371,Cat,American,1,150,2023-08-11 00:00:00,Vancouver,Debit
A0372,Bird,Persian,13,200,2023-07-03 00:00:00,Calgary,Cash
A0373,Cat,Labrador,4,50,2024-05-09 00:00:00,Montreal,Online Transfer
A0374,Rabbit,Persian,7,200,2024-03-02 00:00:00,Montreal,Credit Card
A0375,Dog,Labrador,7,200,2023-06-27 00:00:00,Vancouver,Cash
A0376,Rabbit,Holland Lop,2,150,2024-03-03 00:00:00,Vancouver,Online Transfer
A0377,Bird,American,6,50,2023-10-21 00:00:00,Montreal,Cash
A0378,Cat,American,2,150,2023-05-31 00:00:00,Toronto,Cash
A0379,Cat,Cockatiel,5,50,2024-01-19 00:00:00,Montreal,Cash
A0380,Guinea Pig,Persian,5,75,2023-11-04 00:00:00,Montreal,Credit Card
A0381,Cat,Labrador,2,50,2023-12-02 00:00:00,Vancouver,Online Transfer
A0382,Guinea Pig,Labrador,6,150,2024-01-10 00:00:00,Vancouver,Debit
A0383,Dog,Siamese,2,200,2023-01-08 00:00:00,Montreal,Credit Card
A0384,Bird,Cockatiel,7,50,2023-12-07 00:00:00,Montreal,Credit Card
A0385,Guinea Pig,Bulldog,9,50,2023-05-09 00:00:00,Montreal,Credit Card
A0386,Dog,Bulldog,3,100,2023-12-18 00:00:00,Vancouver,Debit
A0387,Cat,Siamese,14,200,2023-12-24 00:00:00,Montreal,Online Transfer
A0388,Cat,Siamese,14,75,2024-05-31 00:00:00,Montreal,Online Transfer
A0389,Dog,Siamese,12,150,2024-05-09 00:00:00,Ottawa,Online Transfer
A0390,Cat,Persian,0,75,2023-03-27 00:00:00,Toronto,Cash
A0391,Dog,Persian,3,200,2023-06-24 00:00:00,Calgary,Cash
A0392,Guinea Pig,Holland Lop,13,50,2023-07-12 00:00:00,Toronto,Cash
A0393,Guinea Pig,Holland Lop,6,50,2023-11-07 00:00:00,Ottawa,Debit
A0394,Dog,Siamese,10,200,2023-04-29 00:00:00,Calgary,Cash
A0395,Guinea Pig,Cockatiel,3,50,2023-08-06 00:00:00,Montreal,Debit
A0396,Guinea Pig,Labrador,12,50,2024-03-02 00:00:00,Ottawa,Online Transfer
A0397,Guinea Pig,Persian,5,50,2024-02-18 00:00:00,Montreal,Cash
A0398,Rabbit,Cockatiel,8,150,2023-04-24 00:00:00,Vancouver,Cash
A0399,Bird,American,0,150,2023-05-25 00:00:00,Ottawa,Credit Card
A0400,Cat,Persian,12,100,2024-06-21 00:00:00,Vancouver,Debit
